trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-180.79725239399525,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.9900498337491681}",25,17,12.71121575436396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.9801986733067553}",20,0,-160.08789132202077,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9704455335485082}",30,0,-134.59495942680493,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,5,-6.7999988976177725,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.951229424500714}",25,10,-13.676027881709356,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.9417645335842487}",20,0,-69.61589387450897,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9323938199059483}",30,0,-219.87841397576486,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-55.63155985208252,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9139311852712282}",20,0,-105.00747977005042,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9048374180359595}",30,0,-188.45281171355123,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.1, 'e': 0.8958341352965282}",20,0,-55.32434324105978,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.8869204367171575}",20,0,-169.28589535535613,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8780954309205613}",20,0,-157.29736297699583,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.8693582353988059}",20,0,-69.20983250974685,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8607079764250578}",20,0,-40.2293035082784,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
