trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.1552809522238,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.72549736447158,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.69448352209517,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-4.187049440881665,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,3,-190.9005413409304,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.60313271888077,"{0: 10, 1: 2, 2: 11, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.2710350561166,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.363050567056845,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.64906817672245,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.9103592053775,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.2281824137053,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-321.6381022118524,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.64101109496475,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.23120227406677,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,16,-40.695927022006614,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.23178873953927,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.98345858138576,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.9356057526399,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.21044976641907,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.08415231304065,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.67156129581787,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.25846533746467,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-48.22442680779436,"{0: 24, 1: 1, 2: 2, 3: 3, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-237.33836386726523,"{0: 19, 1: 3, 2: 9, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.7596800051987,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-187.4348608457219,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,17,-33.15195105709824,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.95176817201113,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.4840445629581,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.74971124509469,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
